# Dark Matter Relic Abundance for Singlet-Doublet Model
#############################################
# Parameter explanation:
# mS: mass parameter of the singlet scalar
# mD: mass parameter of the doublet scalar
# YChi: Yukawa coupling of the singlet scalar to the doublet scalar
# ThetaY: mixing angle between the two Yukawa couplings, defined as ArcTan(Y2/Y1)
# MN1, MN2, MN3: mass eigenvalues of the neutralino-like Majorana fermions
# MChi: physical mass of the chargino-like Dirac fermion
# Xf: dimensionless freeze-out temperature parameter
# Omegah2: dark matter relic density times dimensionless Hubble rate squared
# Note: The masses are in GeV, ThetaY is in radians
# Format: mS,mD,YChi,ThetaY,Xf,Omegah2
#############################################
mS,mD,YChi,ThetaY,MN1,MN2,MN3,MChi,Xf,Omegah2
2000.00,1300.00,1.00,0.79,1300.00,1309.16,2009.16,1300.00,27.17,1.62e-01
1400.00,1400.00,1.00,0.79,1400.00,1410.78,1410.78,1400.00,27.86,1.14e-01
1500.00,1400.00,1.00,0.79,1400.00,1410.42,1510.42,1400.00,27.37,1.60e-01
1600.00,1400.00,1.00,0.79,1400.00,1410.07,1610.07,1400.00,27.22,1.69e-01
1700.00,1400.00,1.00,0.79,1400.00,1409.75,1709.75,1400.00,27.17,1.73e-01
1800.00,1400.00,1.00,0.79,1400.00,1409.44,1809.44,1400.00,27.16,1.77e-01
1900.00,1400.00,1.00,0.79,1400.00,1409.16,1909.16,1400.00,27.14,1.80e-01
2000.00,1400.00,1.00,0.79,1400.00,1408.89,2008.89,1400.00,27.11,1.83e-01
1500.00,1500.00,1.00,0.79,1500.00,1510.07,1510.07,1500.00,27.81,1.28e-01
1600.00,1500.00,1.00,0.79,1500.00,1509.75,1609.75,1500.00,27.33,1.80e-01
1700.00,1500.00,1.00,0.79,1500.00,1509.44,1709.44,1500.00,27.18,1.92e-01
1800.00,1500.00,1.00,0.79,1500.00,1509.16,1809.16,1500.00,27.10,1.97e-01
1900.00,1500.00,1.00,0.79,1500.00,1508.89,1908.89,1500.00,27.10,2.01e-01
2000.00,1500.00,1.00,0.79,1500.00,1508.64,2008.64,1500.00,27.07,2.04e-01
1600.00,1600.00,1.00,0.79,1600.00,1609.44,1609.44,1600.00,27.74,1.43e-01
1700.00,1600.00,1.00,0.79,1600.00,1609.16,1709.16,1600.00,27.30,2.02e-01
1800.00,1600.00,1.00,0.79,1600.00,1608.89,1808.89,1600.00,27.14,2.15e-01
1900.00,1600.00,1.00,0.79,1600.00,1608.64,1908.64,1600.00,27.05,2.21e-01
2000.00,1600.00,1.00,0.79,1600.00,1608.40,2008.40,1600.00,27.03,2.26e-01
1700.00,1700.00,1.00,0.79,1700.00,1708.89,1708.89,1700.00,27.70,1.59e-01
1800.00,1700.00,1.00,0.79,1700.00,1708.64,1808.64,1700.00,27.23,2.25e-01
1900.00,1700.00,1.00,0.79,1700.00,1708.40,1908.40,1700.00,27.06,2.40e-01
2000.00,1700.00,1.00,0.79,1700.00,1708.17,2008.17,1700.00,27.00,2.47e-01
1800.00,1800.00,1.00,0.79,1800.00,1808.40,1808.40,1800.00,27.65,1.76e-01
1900.00,1800.00,1.00,0.79,1800.00,1808.17,1908.17,1800.00,27.20,2.48e-01
2000.00,1800.00,1.00,0.79,1800.00,1807.96,2007.96,1800.00,27.01,2.67e-01
1900.00,1900.00,1.00,0.79,1900.00,1907.96,1907.96,1900.00,27.57,1.94e-01
2000.00,1900.00,1.00,0.79,1900.00,1907.76,2007.76,1900.00,27.20,2.73e-01
2000.00,2000.00,1.00,0.79,2000.00,2007.56,2007.56,2000.00,27.54,2.12e-01
1000.00,1000.00,1.00,1.57,880.85,1007.58,1126.73,1000.00,26.77,5.00e-02
1100.00,1000.00,1.00,1.57,919.54,1007.22,1187.68,1000.00,26.88,5.47e-02
1200.00,1000.00,1.00,1.57,942.81,1006.89,1264.09,1000.00,26.99,6.40e-02
1300.00,1000.00,1.00,1.57,956.81,1006.59,1349.78,1000.00,27.05,7.19e-02
1400.00,1000.00,1.00,1.57,965.71,1006.32,1440.61,1000.00,27.15,7.72e-02
1500.00,1000.00,1.00,1.57,971.72,1006.07,1534.34,1000.00,27.20,8.06e-02
1600.00,1000.00,1.00,1.57,976.01,1005.83,1629.83,1000.00,27.25,8.30e-02
1700.00,1000.00,1.00,1.57,979.19,1005.62,1726.42,1000.00,27.27,8.47e-02
1800.00,1000.00,1.00,1.57,981.65,1005.42,1823.77,1000.00,27.32,8.61e-02
1900.00,1000.00,1.00,1.57,983.60,1005.23,1921.63,1000.00,27.32,8.73e-02
2000.00,1000.00,1.00,1.57,985.18,1005.06,2019.88,1000.00,27.34,8.84e-02
1100.00,1100.00,1.00,1.57,980.48,1106.89,1226.41,1100.00,26.70,6.02e-02
1200.00,1100.00,1.00,1.57,1019.31,1106.59,1287.28,1100.00,26.84,6.57e-02
1300.00,1100.00,1.00,1.57,1042.68,1106.32,1363.64,1100.00,26.96,7.64e-02
1400.00,1100.00,1.00,1.57,1056.73,1106.06,1449.33,1100.00,27.02,8.54e-02
1500.00,1100.00,1.00,1.57,1065.66,1105.83,1540.17,1100.00,27.13,9.12e-02
1600.00,1100.00,1.00,1.57,1071.69,1105.62,1633.93,1100.00,27.19,9.50e-02
1700.00,1100.00,1.00,1.57,1075.98,1105.42,1729.44,1100.00,27.20,9.76e-02
1800.00,1100.00,1.00,1.57,1079.17,1105.23,1826.05,1100.00,27.23,9.96e-02
1900.00,1100.00,1.00,1.57,1081.64,1105.06,1923.42,1100.00,27.27,1.01e-01
2000.00,1100.00,1.00,1.57,1083.59,1104.89,2021.31,1100.00,27.30,1.03e-01
1200.00,1200.00,1.00,1.57,1080.17,1206.32,1326.15,1200.00,26.64,7.15e-02
1300.00,1200.00,1.00,1.57,1119.13,1206.06,1386.94,1200.00,26.80,7.78e-02
1400.00,1200.00,1.00,1.57,1142.57,1205.83,1463.26,1200.00,26.91,8.99e-02
1500.00,1200.00,1.00,1.57,1156.67,1205.61,1548.95,1200.00,27.01,9.99e-02
1600.00,1200.00,1.00,1.57,1165.62,1205.41,1639.80,1200.00,27.07,1.06e-01
1700.00,1200.00,1.00,1.57,1171.66,1205.23,1733.57,1200.00,27.12,1.11e-01
1800.00,1200.00,1.00,1.57,1175.96,1205.05,1829.10,1200.00,27.18,1.13e-01
1900.00,1200.00,1.00,1.57,1179.16,1204.89,1925.73,1200.00,27.19,1.16e-01
2000.00,1200.00,1.00,1.57,1181.62,1204.74,2023.12,1200.00,27.21,1.17e-01
1300.00,1300.00,1.00,1.57,1179.91,1305.83,1425.92,1300.00,26.60,8.36e-02
1400.00,1300.00,1.00,1.57,1218.97,1305.61,1486.64,1300.00,26.76,9.08e-02
1500.00,1300.00,1.00,1.57,1242.48,1305.41,1562.94,1300.00,26.88,1.05e-01
1600.00,1300.00,1.00,1.57,1256.61,1305.23,1648.62,1300.00,26.98,1.16e-01
1700.00,1300.00,1.00,1.57,1265.58,1305.05,1739.47,1300.00,27.02,1.23e-01
1800.00,1300.00,1.00,1.57,1271.63,1304.89,1833.26,1300.00,27.09,1.27e-01
1900.00,1300.00,1.00,1.57,1275.94,1304.74,1928.80,1300.00,27.11,1.30e-01
2000.00,1300.00,1.00,1.57,1279.14,1304.59,2025.45,1300.00,27.15,1.33e-01
1400.00,1400.00,1.00,1.57,1279.69,1405.41,1525.73,1400.00,26.55,9.68e-02
1500.00,1400.00,1.00,1.57,1318.84,1405.23,1586.39,1400.00,26.73,1.05e-01
1600.00,1400.00,1.00,1.57,1342.40,1405.05,1662.65,1400.00,26.85,1.20e-01
1700.00,1400.00,1.00,1.57,1356.56,1404.89,1748.33,1400.00,26.95,1.32e-01
1800.00,1400.00,1.00,1.57,1365.55,1404.74,1839.19,1400.00,27.00,1.40e-01
